level,question,source_url,source_type,source_title
Remember,Who?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Where?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Which one?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,How?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Why?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,How much?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,How many?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,When?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What does it mean?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What happened after?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What is the best one?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,…?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Who spoke to …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Which is true or false?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What does this mean?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Which are the facts?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Is this the same as …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What would happen if …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What expectations are there?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What are they saying?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
